id,Tienda
374,NUEVA WALMART DE MEXICO  S. DE R.L. DE C.V. Y/O SAMS CLUB COLA DE BALLENA
375,TIENDAS COMERCIAL MEXICANA  S.A. DE C.V. Y/O SUCURSAL MEGA LA PAZ
376,LEY EXPRESS MIRAMAR Y/O CASA LEY  S.A. DE C.V.
377,LEY EXPRESS PROGRESO Y/O CASA LEY  S.A. DE C.V.
378,TIENDAS CHEDRAUI S.A.DE C.V.
379,BODEGA AURRERA CAMINO REAL   Y/O NUEVA WALMART DE MEXICO  S. DE R.L. DE C.V.
380,LEY EXPRESS CAMINO REAL 1222 Y/O CASA LEY S.A.DE C.V.
381,TIENDAS SORIANA  S.A. DE C.V. SUCURSAL CAMINO REAL (620)
382,ALISER CAMINO REAL Y/O ALISER  S.A. DE C.V.
383,CARLOS ARAMBURO  S.A. DE C.V. Y/O SUPERMERCADO ARAMBURO 16 DE SEPTIEMBRE
384,CARLOS ARAMBURO  S.A. DE C.V.
385,CASA LEY  S.A. DE C.V.
386,TIENDAS CHEDRAUI  S.A. DE C.V.
387,CASA LEY  S.A. DE C.V.
388,SEARS OPERADORA  MEXICO  S.A. DE C.V. Y/O SEARS
389,COMERCIALIZADORA DAX S.A. DE C.V.  Y/O TIENDA DAX
390,OXXO CALANDRIO Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.
391,MISCELANEA EL TUCAN Y/O LEONARDA MARIA SANTOS CHAVEZ
392,OXXO LA FUENTE Y/O CADENA COMERCIAL OXXO S.A. DE C.V.
393,MINIMART TABACHINES Y/O CARLOS ARAMBURO  S.A. DE C.V.
394,JUAN RICARDO MEDINA VARELA Y/O MINI SUPER PINGUI
395,OXXO DIANA LAURA Y/O CADENA COMERCIAL OXXO S.A.DE C.V.
396,"GUADALUPE REBECA RIVERA GOMEZ Y/O MATERIALES Y FERRETERIA ""LOS JOAQUINES"""
397,ENERGIA Y COMUNICACIONES DE MEXICO S.A. DE C.V. Y/O ENERCOMM
398,DULCE MARIA LUCERO AMADOR Y/O VICTORIAS
399,JUANA MARIA ALEJOS VASQUEZ Y/O OPTICA
400,INES ARREOLA MIRANDA Y/O DULCERIA EL CHAPULIN
401,VERONICA VERDUZCO Y/O REGALOS TUTU
402,JOSE ANTONIO BATALLA LOPEZ Y/O ALMACENES BATALLA
