id,Producto,Tienda,Estado,Incumplimiento
13535,CHILES,MISCELANEA TIO PONCHO Y/O FRANCISCO JAVIER MONTAÑO ALVAREZ,MEXICO,0
13536,PAN,MISCELANEA JUNIOR Y/O RUBEN MARTINEZ GASPAR,MEXICO,0
13537,AGUA  PURIFICADA,MISCELANEA JUNIOR Y/O RUBEN MARTINEZ GASPAR,MEXICO,0
13538,DULCES Y GOLOSINAS,MISCELANEA JUNIOR Y/O RUBEN MARTINEZ GASPAR,MEXICO,0
13539,DULCES Y GOLOSINAS,MISCELANEA JUNIOR Y/O RUBEN MARTINEZ GASPAR,MEXICO,0
13540,NECTAR,VINOS Y LICORES LIZBETH Y/O GASPAR RODRIGUEZ MARTINEZ,MEXICO,0
13541,BEBIDAS,VINOS Y LICORES LIZBETH Y/O GASPAR RODRIGUEZ MARTINEZ,MEXICO,0
13542,CHILES,VINOS Y LICORES LIZBETH Y/O GASPAR RODRIGUEZ MARTINEZ,MEXICO,0
13543,FRIJOLES,VINOS Y LICORES LIZBETH Y/O GASPAR RODRIGUEZ MARTINEZ,MEXICO,0
13544,SALSA,VINOS Y LICORES LUPITA Y/O JORGE LUIS SANCHEZ GARCIA,MEXICO,0
13545,SALSA,VINOS Y LICORES LUPITA Y/O JORGE LUIS SANCHEZ GARCIA,MEXICO,0
13546,DULCES Y GOLOSINAS,VINOS Y LICORES LUPITA Y/O JORGE LUIS SANCHEZ GARCIA,MEXICO,0
13547,NECTAR,VINOS Y LICORES LUPITA Y/O JORGE LUIS SANCHEZ GARCIA,MEXICO,0
13548,ATUN,NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,MEXICO,0
13549,ATUN,NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,MEXICO,0
13550,ATUN,NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,MEXICO,0
13551,ATUN,ABARROTES  VINOS Y LICORES LA ROCA DE ORO Y/O CLARA TAPIA REYES,MEXICO,0
13552,ATUN,ABARROTES  VINOS Y LICORES LA ROCA DE ORO Y/O CLARA TAPIA REYES,MEXICO,0
13553,ATUN,CREMERIA Y SALCHICHONERIA EL AMIGO Y/O JOSE JUAN MENDOZA SIERRA,MEXICO,0
13554,ATUN,CREMERIA Y SALCHICHONERIA EL AMIGO Y/O JOSE JUAN MENDOZA SIERRA,MEXICO,0
13555,ATUN,ABARROTES LA PARRANDA Y/O MARIA BEATRIZ MARROQUIN CONTRERAS,MEXICO,0
13556,ATUN,ABARROTES LA PARRANDA Y/O MARIA BEATRIZ MARROQUIN CONTRERAS,MEXICO,0
13557,CEREALES,TIENDAS SUPER PRECIO  S. A. DE C. V .,MEXICO,0
